# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "8" "-p" "-a" "../Indices/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0_genomic.gtf" "-o" "../Quantification/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0.txt" "CK21_FR.bam" "CK22-1_FR.bam" "CK22-2_FR.bam" "CK23_FR.bam" "T21_FR.bam" "T22_FR.bam" "T23_FR.bam" "T24_FR.bam" 
Geneid,CK21_FR.bam,CK22-1_FR.bam,CK22-2_FR.bam,CK23_FR.bam,T21_FR.bam,T22_FR.bam,T23_FR.bam,T24_FR.bam
LOC103495483,19,24,31,32,19,12,34,13
LOC103495484,1573,1525,1618,1830,1564,1083,377,843
LOC103495486,5510,2390,2863,2239,1747,2033,5200,4340
LOC103495487,278,180,242,180,64,188,185,213
LOC103495488,493,227,265,223,532,437,124,727
LOC103495489,1363,1371,1688,2326,2994,2883,1746,3287
LOC103495490,69,73,61,75,40,76,40,24
LOC103495491,7530,7959,8985,11110,8027,7922,5070,7375
LOC107991343,0,1,0,1,0,5,0,4
LOC127144327,0,0,0,0,0,0,0,0
LOC103495492,2563,2025,2411,2759,3003,3159,3632,4240
LOC103495493,1896,1651,2025,2063,1809,1967,2312,1884
LOC103495495,252,223,229,293,390,321,39,335
LOC103495496,418,438,486,304,565,642,366,417
LOC107991348,126,71,119,64,67,52,62,57
LOC103495497,1715,1563,2024,2234,2183,2357,2650,3223
LOC127149292,0,0,0,0,0,0,0,0
LOC103495498,915,881,1006,972,678,576,161,350
LOC127149300,0,0,4,0,0,0,0,0
LOC103495499,316,224,236,240,275,290,242,459
LOC103495500,18,62,75,12,22,32,91,191
LOC103495501,4580,6521,7588,8122,7082,6300,6482,6145
LOC103495502,14,4,5,2,8,0,0,0
LOC103495503,16522,17154,19307,15542,11926,13216,15796,19465
LOC103495504,277,244,283,307,239,207,48,130
LOC127144342,2,2,5,0,0,0,2,0
LOC103495505,4,6,0,10,173,102,0,0
LOC103495506,3992,3084,3538,6448,3429,3148,4462,5101
TRNAF-GAA,0,0,0,0,0,0,0,0
LOC103495507,886,785,811,955,1289,1048,253,741
LOC103495508,711,635,782,745,745,757,370,901
LOC103495510,1512,2170,2508,1937,1020,1142,611,566
LOC103495511,1089,828,1118,953,1123,1293,801,1344
LOC103495512,2880,2761,3171,3147,3758,2815,2618,3899
LOC103495513,1731,1542,1739,1391,1581,2037,2755,2897
LOC103495514,3042,3105,3550,2927,2608,2879,5433,4304
LOC103495515,413,503,408,462,532,522,685,663
LOC103495517,144,65,124,154,106,187,343,463
LOC103495518,1278,751,771,842,749,811,2248,1937
LOC103495690,148,195,270,195,228,228,150,172
LOC107990314,1291,1558,1980,1083,1683,2155,1292,2569
LOC103495519,327,578,637,440,686,771,222,1153
LOC103495520,143,286,344,361,219,376,640,641
LOC103495691,0,0,2,10,4,2,0,0
LOC103495521,0,12,20,0,4,6,2,8
LOC103495522,0,0,0,0,0,0,0,0
LOC103495524,104,87,95,104,26,39,58,100
LOC103495525,34,37,42,135,80,77,175,275
LOC103495526,1176,1546,2046,3159,2413,2197,1254,2174
LOC103495527,404,289,434,433,516,380,169,358
TRNAQ-CUG,0,0,0,0,0,0,0,0
LOC103495528,193,200,326,258,202,232,93,206
LOC103495692,39,26,55,41,83,83,62,76
LOC103495693,222,286,246,250,206,222,89,139
LOC103495529,1781,1524,1895,1478,1335,1365,1941,2015
LOC127143789,0,0,0,0,0,0,0,0
LOC103495531,4432,3888,4803,5761,4999,3807,2980,5147
LOC103495532,1014,1467,1512,1203,1006,941,661,969
LOC103495534,131,160,220,114,138,126,97,118
LOC103495535,18,10,5,9,12,20,45,66
LOC103495536,1776,1576,1919,1917,1360,1170,406,534
LOC103495537,2673,2467,3031,2831,1279,1168,1040,1225
TRNAD-GUC_2,0,0,0,0,0,0,0,0
LOC103495538,595,421,464,369,241,295,221,455
LOC103495539,1632,1594,2033,1817,1704,1305,870,1038
LOC103495542,667,448,590,1137,401,487,481,583
LOC103495543,224,157,193,230,149,161,166,420
LOC103495544,665,457,440,322,268,346,564,1310
LOC103495545,585,191,192,139,228,205,162,1144
LOC127149405,6,6,4,5,2,8,0,0
LOC103495547,1478,1368,1441,1892,1861,1496,1111,815
LOC103495548,58,171,134,58,57,130,170,47
LOC103495549,70,206,226,201,119,180,199,407
LOC103495550,53,63,87,65,66,78,65,50
LOC103495551,20,26,56,18,97,83,8,0
LOC103495552,8,2,14,2,44,42,0,0
LOC103495553,395,485,527,308,286,289,137,165
LOC103495554,316,315,443,358,271,264,419,476
TRNAD-GUC_3,0,0,0,0,0,0,0,0
LOC103495555,67,61,106,86,21,41,10,37
LOC103495556,1312,1046,1245,1331,1535,1728,1104,1682
LOC103495557,2743,2233,2629,3532,2926,2235,1709,3652
LOC103495558,188,308,370,287,279,182,124,371
LOC103504200,355,273,357,197,152,227,295,330
LOC103495560,88,102,88,73,60,79,9,32
LOC103495561,1731,3182,3813,1801,3278,3264,1521,1349
LOC127143819,217,149,176,226,208,196,83,256
LOC103495562,135,66,88,70,89,51,21,42
TRNAS-CGA,0,0,0,0,0,0,0,0
LOC103495563,23,34,9,37,235,306,22,127
LOC103495564,10,15,27,12,24,2,0,8
LOC103495565,1836,1919,2092,2084,2541,2113,1427,2248
LOC103495566,173,282,326,200,76,54,88,207
LOC103495567,1579,1422,1635,1588,1092,1201,484,878
TRNAA-AGC,0,0,0,0,0,0,0,0
LOC103495572,16,14,12,18,6,3,0,0
LOC103495571,15,0,8,43,24,25,6,2
LOC103495568,11,16,11,17,34,32,24,59
LOC103495573,3689,1164,1487,1522,2728,3336,3028,6166
LOC103495574,633,275,423,459,1642,1826,530,3171
LOC103495575,1107,1313,1522,1278,3025,3446,1004,2850
LOC103495695,495,517,741,496,1453,1572,894,1299
LOC103495576,488,505,564,547,626,558,335,657
LOC103495577,257,333,270,250,398,641,868,2639
LOC103495582,579,565,679,791,832,852,694,942
LOC103495581,1328,1139,1541,1473,1365,957,582,829
LOC103495580,402,672,776,560,481,529,865,660
LOC103495579,25,2,17,0,6,2,0,32
LOC103495584,24924,19608,24621,20655,22809,26566,31475,43057
LOC103495585,466,298,346,505,317,341,225,453
LOC103495586,0,0,0,0,0,4,8,0
LOC103495696,4163,3524,4605,2971,3789,4987,9694,8510
LOC103495588,785,846,883,755,775,685,409,528
LOC103495587,297,272,313,382,272,247,53,107
LOC103495590,885,1105,1245,1371,1117,1142,318,777
LOC103495591,18947,17973,20446,12866,11999,12968,14666,13611
LOC103495592,10,53,30,24,32,22,8,22
LOC103495593,1178,975,1177,910,943,845,560,796
LOC103495697,3,1,3,0,2,1,0,4
LOC103495594,451,325,256,539,801,804,208,717
LOC103495599,8889,9024,10381,9909,9160,10037,12712,10616
LOC103495597,1193,1249,1384,881,554,633,1957,1218
LOC103495596,326,375,385,447,308,228,305,208
LOC103495600,1010,979,1102,1205,1179,992,214,379
MIR171B,0,0,0,0,0,0,0,0
LOC103495698,2,2,0,4,0,0,0,0
LOC103495601,40,33,59,51,77,46,47,90
LOC103495602,1192,1393,1713,1293,1354,1194,828,1410
LOC107991344,20,18,26,15,16,29,42,8
LOC103495604,135,156,174,102,321,316,265,665
LOC103495605,55,17,23,17,8,45,18,16
LOC103495607,610,358,404,184,219,312,383,596
LOC103495608,259,468,506,298,275,260,121,96
LOC127149470,0,0,0,0,0,0,0,0
LOC103495609,63,63,88,48,14,40,73,40
LOC103495610,3404,3382,4049,3305,2591,2545,3943,3175
LOC103495611,84,108,104,120,100,86,100,204
LOC103495612,702,568,798,495,656,615,338,886
LOC103495613,106,116,127,150,118,66,60,62
LOC103495614,3007,2707,3104,2903,2803,3296,1872,4134
LOC103495615,250,104,136,150,93,124,167,210
LOC103495617,1870,1626,1660,1684,1927,1549,1147,1564
LOC103495618,62,44,48,60,52,40,55,87
LOC103495619,5002,4086,4305,4112,5850,5356,3240,5607
LOC103495622,144,177,146,170,189,198,75,91
LOC103495621,46,14,35,52,83,52,10,24
LOC103495620,384,283,304,359,328,281,157,223
LOC103495623,1382,1481,1542,1667,1254,1088,728,1086
LOC103495624,1028,1306,1644,1297,1315,1270,960,1535
LOC103495626,11519,8946,10873,7051,4501,5604,5666,4412
LOC103495627,321,350,466,228,477,498,294,576
LOC103495628,58,102,153,333,183,129,18,11
LOC103495629,668,532,667,860,878,697,218,653
LOC103495631,1652,2267,2531,2273,2351,1794,473,835
LOC103495632,3181,5045,5943,8448,6189,5443,1168,1333
LOC103495699,16,28,15,38,10,2,4,2
LOC103495633,57,66,55,51,43,33,24,37
LOC103495636,742,823,981,748,644,677,184,402
LOC103495634,74,79,120,86,65,100,99,135
LOC103495635,2,0,0,3,3,3,4,11
LOC103495700,5936,5218,5989,6523,2965,2549,602,3768
LOC107991346,5,2,13,15,19,5,2,115
LOC127149485,0,0,0,0,0,0,0,0
LOC103495701,15,7,20,9,7,18,0,0
LOC127149488,0,0,0,0,0,0,0,0
LOC103495637,242,225,250,485,229,275,214,165
LOC103495638,1739,1459,1823,1592,1725,2116,2104,2306
LOC103495639,17530,13143,15680,12813,17546,20843,30443,48470
LOC103495640,540,355,495,603,572,502,267,483
LOC103495644,954,1071,1160,1928,1033,659,151,337
LOC103495643,798,775,1037,698,642,525,351,757
LOC103495642,1521,1553,1611,1586,1517,1155,998,1564
LOC103495646,3423,3427,3618,3073,4173,5173,2717,5567
LOC103495645,5042,6576,7564,6645,7087,7098,6075,7147
LOC103495648,1083,1355,1562,1591,1712,1416,722,1323
LOC103495649,9086,8783,10324,8605,9754,11067,7955,14333
LOC103495704,0,0,0,0,4,0,0,0
LOC103495650,3812,3189,4083,2663,3364,4075,3562,6381
LOC103495651,339,389,384,569,663,308,17,46
LOC103495654,538,502,698,703,560,569,194,233
